1 void VOID
1 main IDENTIFIER
1 ( PARENTHESIS_L
1 ) PARENTHESIS_R
2 { BRACE_L
3 cout COUT
3 << LEFT_OP
3 2 CONST_INTEGER
3 + PLUS
3 3 CONST_INTEGER
3 + PLUS
3 5 CONST_INTEGER
3 ; SEMICOLON
4 cout COUT
4 << LEFT_OP
4 3.4 CONST_FLOAT
4 ; SEMICOLON
5 cout COUT
5 << LEFT_OP
5 'a' CONST_CHARACTER
5 ; SEMICOLON
6 cout COUT
6 << LEFT_OP
6 "HELLO WORLD !" CONST_STRING
6 ; SEMICOLON
7 cout COUT
7 << LEFT_OP
7 3.2 CONST_FLOAT
7 * STAR
7 3 CONST_INTEGER
7 ; SEMICOLON
8 cout COUT
8 << LEFT_OP
8 2.5 CONST_FLOAT
8 * STAR
8 2.5 CONST_FLOAT
8 ; SEMICOLON
9 } BRACE_R
